,Image,Acc,F1,Jaccard,Recall,Precision,AUC ROC
108,19_test_0,0.9378623962402344,0.48297095699095377,0.3183663221324852,0.9586693548387096,0.32279689422546565,0.9479410942119025
109,19_test_1,0.938751220703125,0.4859118852459016,0.3209270850955845,0.9562696912413359,0.3257071725973301,0.9472370410582803
110,19_test_2,0.9381675720214844,0.48331261356029465,0.31866330390920555,0.9552671370967742,0.32349050565393644,0.9464504429189813
111,19_test_3,0.9357833862304688,0.44302541026998404,0.2845424794933911,0.8952928590532228,0.29433746592807525,0.9161326035741875
112,19_test_4,0.93597412109375,0.4899410441864705,0.3244515999195009,0.9394010022141942,0.3313874614594039,0.9376295759326829
113,19_test_5,0.9444389343261719,0.4590127400364001,0.29786926340146547,0.9459583588487447,0.3030258447354225,0.945179232630012
114,20_test_0,0.9446983337402344,0.4791434627959616,0.3150484290101583,0.9245701608430393,0.3233596818776975,0.9349189592597982
115,20_test_1,0.94696044921875,0.4861028976936723,0.32109375,0.9123196448390677,0.3313180169286578,0.9301297599724883
116,20_test_2,0.9448966979980469,0.4778601120549431,0.3139396817857991,0.9164009427422709,0.32319577547428124,0.9310519488297418
117,20_test_3,0.9450950622558594,0.44614614999807595,0.2871223377909856,0.8574175417837598,0.30151877665661087,0.9024168877203298
118,20_test_4,0.9480323791503906,0.47415756359285127,0.31075132810523654,0.9065682656826568,0.3210328245870792,0.9278503487876648
119,20_test_5,0.9111099243164062,0.5341463414634147,0.3643926788685524,0.6949487592987567,0.43377601714452707,0.8115820525142191
